CustomerID,Frequency,Recency,MonetaryValue,AverageOrderValue,TotalQuantity,Customer_Status
12347,7,2,4310.0,615.71,2458,VIP
12348,4,75,1797.24,449.31,2341,Inactive
12349,1,19,1757.55,1757.55,631,Inactive
12350,1,310,334.4,334.4,197,Inactive
12352,7,36,2385.71,340.82,473,Risk
12353,1,204,89.0,89.0,20,Inactive
12354,1,232,1079.4,1079.4,530,Inactive
12355,1,214,459.4,459.4,240,Inactive
12356,3,23,2811.43,937.14,1591,Inactive
12357,1,33,6207.67,6207.67,2708,Inactive
12358,2,2,1168.06,584.03,248,New
12359,4,58,6372.58,1593.14,1622,Inactive
12360,3,52,2662.06,887.35,1165,Inactive
12361,1,287,189.9,189.9,91,Inactive
12362,10,3,5226.23,522.62,2229,VIP
12363,2,110,552.0,276.0,408,Inactive
12364,4,8,1313.1,328.28,1506,New
12365,1,291,320.69,320.69,1,Inactive
12367,1,4,168.9,168.9,173,New
12370,4,51,3545.69,886.42,2353,Inactive
12371,2,45,1887.96,943.98,591,Inactive
12372,3,72,1298.04,432.68,794,Inactive
12373,1,311,364.6,364.6,197,Inactive
12374,1,25,742.93,742.93,342,Inactive
12375,2,11,457.5,228.75,178,New
12377,2,315,1628.12,814.06,944,Inactive
12378,1,130,4008.62,4008.62,2529,Inactive
12379,2,82,852.24,426.12,407,Inactive
12380,4,22,2724.81,681.2,1127,Inactive
12381,5,5,1845.31,369.06,808,Loyal
12383,5,185,1850.56,370.11,1532,Risk
12384,2,29,585.27,292.64,126,Inactive
12386,2,338,401.9,200.95,354,Inactive
12388,6,16,2780.66,463.44,1462,VIP
12390,1,80,549.84,549.84,353,Inactive
12391,1,22,460.89,460.89,300,Inactive
12393,4,72,1582.6,395.65,816,Inactive
12394,2,64,1272.48,636.24,819,Inactive
12395,12,19,3018.63,251.55,2118,Risk
12397,2,36,2409.9,1204.95,1263,Inactive
12398,1,46,1635.66,1635.66,1394,Inactive
12399,4,119,1108.65,277.16,1178,Inactive
12401,1,303,84.3,84.3,11,Inactive
12402,1,323,225.6,225.6,94,Inactive
12403,1,50,427.7,427.7,96,Inactive
12405,1,149,1710.39,1710.39,857,Inactive
12406,2,22,3415.3,1707.65,1818,Inactive
12407,5,50,1708.12,341.62,1416,Risk
12408,5,33,2888.55,577.71,1409,Risk
12409,3,79,11072.67,3690.89,5551,Inactive
12410,2,309,693.33,346.66,211,Inactive
12412,3,75,1226.88,408.96,829,Inactive
12413,3,67,758.1,252.7,286,Inactive
12414,3,217,562.41,187.47,300,Inactive
12415,20,24,124755.88,6237.79,77277,Risk
12417,9,3,3649.1,405.46,1552,Loyal
12418,1,113,668.58,668.58,407,Inactive
12420,1,64,600.39,600.39,345,Inactive
12421,4,16,807.04,201.76,484,New
12422,3,96,803.56,267.85,370,Inactive
12423,8,1,1859.31,232.41,1339,Loyal
12424,2,163,1760.96,880.48,740,Inactive
12425,1,78,777.2,777.2,496,Inactive
12426,1,195,582.73,582.73,258,Inactive
12427,3,22,825.8,275.27,533,Inactive
12428,9,26,7956.46,884.05,3536,Risk
12429,4,9,3750.4,937.6,1557,New
12430,1,43,256.4,256.4,117,Inactive
12431,15,36,6487.45,432.5,2906,Risk
12432,5,43,5059.32,1011.86,1801,Risk
12433,7,1,13375.87,1910.84,11071,VIP
12434,2,85,806.14,403.07,394,Inactive
12435,2,80,7829.89,3914.94,2055,Inactive
12436,1,100,509.01,509.01,211,Inactive
12437,18,2,4951.41,275.08,2922,Loyal
12438,2,14,2906.85,1453.42,1180,New
12441,1,367,173.55,173.55,121,Inactive
12442,1,3,172.06,172.06,182,New
12444,5,21,5005.46,1001.09,1153,Risk
12445,1,22,133.4,133.4,62,Inactive
12446,1,58,1002.31,1002.31,351,Inactive
12447,1,243,476.49,476.49,190,Inactive
12448,1,44,449.45,449.45,243,Inactive
12449,4,22,4067.29,1016.82,1553,Inactive
12450,2,156,197.88,98.94,128,Inactive
12451,5,11,9035.52,1807.1,6575,VIP
12452,2,17,430.57,215.28,185,New
12453,1,134,707.09,707.09,473,Inactive
12455,6,73,2466.86,411.14,2089,Risk
12456,3,44,3181.04,1060.35,1633,Inactive
12457,5,66,1987.88,397.58,710,Risk
12458,2,71,947.4,473.7,506,Inactive
12461,2,94,826.88,413.44,287,Inactive
12462,2,19,1189.59,594.8,536,Inactive
12463,4,53,1344.78,336.2,776,Inactive
12464,8,10,1212.05,151.51,112,Loyal
12465,2,17,742.19,371.1,479,New
12468,2,188,729.54,364.77,366,Inactive
12471,30,2,19824.05,660.8,8212,VIP
12472,7,32,6572.11,938.87,4148,Risk
12473,5,29,3938.55,787.71,2439,Risk
12474,18,17,7375.79,409.77,4847,Loyal
12475,1,54,723.38,723.38,535,Inactive
12476,11,16,6816.42,619.67,2408,VIP
12477,6,23,13219.74,2203.29,3653,Risk
12478,1,4,680.99,680.99,236,New
12479,1,11,527.2,527.2,385,New
12480,4,28,3281.63,820.41,1707,Inactive
12481,10,23,5596.32,559.63,3304,Risk
12483,8,17,2484.98,310.62,1110,Loyal
12484,6,33,4541.72,756.95,2191,Risk
12488,3,10,1298.66,432.89,529,New
12489,1,336,334.93,334.93,105,Inactive
12490,10,5,5417.93,541.79,3064,VIP
12491,1,39,460.4,460.4,260,Inactive
12492,2,63,263.21,131.61,192,Inactive
12493,2,166,433.74,216.87,207,Inactive
12494,7,16,1246.1,178.01,707,Loyal
12497,1,82,1043.1,1043.1,1236,Inactive
12498,3,21,403.7,134.57,159,Inactive
12500,11,23,4257.82,387.07,2678,Risk
12501,1,337,2169.39,2169.39,1783,Inactive
12502,5,96,3723.87,744.77,820,Risk
12504,2,18,482.05,241.02,90,New
12506,1,233,73.5,73.5,23,Inactive
12507,3,134,1304.81,434.94,894,Inactive
12508,2,26,398.27,199.14,272,Inactive
12509,1,284,176.5,176.5,55,Inactive
12510,2,143,982.57,491.28,353,Inactive
12512,2,66,138.03,69.02,99,Inactive
12513,1,113,612.29,612.29,462,Inactive
12514,1,267,1017.68,1017.68,440,Inactive
12515,1,353,383.7,383.7,131,Inactive
12516,2,78,1312.06,656.03,875,Inactive
12517,5,28,2502.84,500.57,1371,Risk
12518,5,1,2056.89,411.38,1318,Loyal
12519,1,64,340.84,340.84,183,Inactive
12520,5,79,2634.26,526.85,1439,Risk
12521,1,143,599.68,599.68,309,Inactive
12522,2,39,192.72,96.36,194,Inactive
12523,11,19,1789.77,162.71,865,Risk
12524,8,9,4485.72,560.71,3699,VIP
12526,3,1,1316.66,438.89,632,New
12527,3,82,348.71,116.24,234,Inactive
12528,6,9,1933.48,322.25,756,Loyal
12530,4,60,1662.28,415.57,913,Inactive
12531,1,15,125.22,125.22,45,New
12532,1,30,349.83,349.83,153,Inactive
12534,1,131,1089.18,1089.18,651,Inactive
12535,2,92,716.35,358.17,219,Inactive
12536,3,43,12601.83,4200.61,2803,Inactive
12538,1,29,363.95,363.95,191,Inactive
12539,3,22,3852.5,1284.17,1424,Inactive
12540,17,20,13400.24,788.25,6685,Risk
12541,3,30,981.18,327.06,680,Inactive
12544,1,36,372.7,372.7,136,Inactive
12545,2,75,1000.39,500.2,523,Inactive
12546,2,47,1161.5,580.75,633,Inactive
12547,2,198,207.8,103.9,134,Inactive
12548,1,166,95.2,95.2,49,Inactive
12550,1,79,964.83,964.83,569,Inactive
12551,1,358,168.0,168.0,100,Inactive
12552,2,39,437.82,218.91,88,Inactive
12553,10,8,3692.28,369.23,1965,Loyal
12556,2,50,603.71,301.86,358,Inactive
12557,5,16,11990.96,2398.19,4384,VIP
12559,2,311,561.71,280.86,283,Inactive
12560,3,5,2134.01,711.34,1110,New
12561,1,303,238.85,238.85,177,Inactive
12562,7,8,3781.74,540.25,1779,VIP
12564,1,261,456.9,456.9,133,Inactive
12565,1,289,145.92,145.92,80,Inactive
12566,1,86,351.65,351.65,265,Inactive
12567,9,23,9114.94,1012.77,4089,Risk
12569,32,2,4124.69,128.9,1801,Loyal
12571,2,40,519.61,259.8,523,Inactive
12572,2,9,1020.42,510.21,452,New
12573,1,227,160.54,160.54,84,Inactive
12574,1,316,218.45,218.45,61,Inactive
12576,5,36,1315.83,263.17,967,Risk
12577,3,35,657.8,219.27,472,Inactive
12578,2,21,2794.51,1397.26,1196,Inactive
12579,1,78,440.42,440.42,285,Inactive
12580,1,247,415.7,415.7,238,Inactive
12581,1,40,197.71,197.71,161,Inactive
12582,2,239,511.36,255.68,300,Inactive
12583,15,3,7281.38,485.43,5060,VIP
12584,9,4,2338.15,259.79,416,Loyal
12585,2,234,2040.1,1020.05,1279,Inactive
12586,1,17,196.94,196.94,79,New
12587,1,8,144.0,144.0,51,New
12588,1,39,214.9,214.9,53,Inactive
12589,2,29,646.68,323.34,306,Inactive
12590,2,211,9864.26,4932.13,4283,Inactive
12591,1,317,452.85,452.85,228,Inactive
12592,2,92,437.6,218.8,290,Inactive
12593,3,109,418.1,139.37,206,Inactive
12594,10,38,3338.22,333.82,1777,Risk
12596,2,51,618.27,309.14,474,Inactive
12597,4,19,3811.22,952.8,2236,Inactive
12598,8,10,3023.08,377.88,1964,Loyal
12599,7,29,1032.58,147.51,956,Risk
12600,10,29,2599.04,259.9,774,Risk
12601,5,190,577.06,115.41,245,Risk
12602,1,59,153.12,153.12,162,Inactive
12603,1,22,739.2,739.2,63,Inactive
12604,2,79,254.18,127.09,201,Inactive
12609,3,78,1126.85,375.62,648,Inactive
12610,5,23,2099.54,419.91,1049,Risk
12611,1,52,1193.32,1193.32,846,Inactive
12612,1,74,704.04,704.04,262,Inactive
12613,5,57,3344.38,668.88,1644,Risk
12614,1,278,315.6,315.6,76,Inactive
12615,4,2,2291.19,572.8,1376,New
12616,2,95,713.3,356.65,284,Inactive
12617,1,29,355.53,355.53,213,Inactive
12618,1,22,177.31,177.31,96,Inactive
12619,8,16,3251.56,406.44,3377,Loyal
12620,3,15,1339.41,446.47,1181,New
12621,20,2,13689.67,684.48,7440,VIP
12622,1,232,180.1,180.1,69,Inactive
12623,1,276,305.1,305.1,191,Inactive
12624,2,106,641.13,320.56,355,Inactive
12625,2,212,2683.82,1341.91,1612,Inactive
12626,9,23,6620.48,735.61,3453,Risk
12627,7,11,4478.53,639.79,2752,VIP
12628,3,4,786.46,262.15,448,New
12630,2,10,1270.88,635.44,548,New
12631,1,57,640.5,640.5,236,Inactive
12633,4,59,2163.98,541.0,1162,Inactive
12635,2,90,1689.18,844.59,1172,Inactive
12637,8,67,6021.9,752.74,3002,Risk
12638,1,33,671.69,671.69,577,Inactive
12639,1,239,486.1,486.1,201,Inactive
12640,3,24,1174.58,391.53,311,Inactive
12641,1,115,185.9,185.9,72,Inactive
12642,3,25,1013.26,337.75,552,Inactive
12643,6,128,3344.64,557.44,1808,Risk
12644,1,130,477.91,477.91,325,Inactive
12645,4,34,1775.18,443.8,1084,Inactive
12646,2,5,1346.97,673.48,897,New
12647,12,22,3722.82,310.23,1431,Risk
12648,1,155,318.05,318.05,160,Inactive
12649,3,107,623.51,207.84,586,Inactive
12650,1,3,314.44,314.44,254,New
12651,1,335,114.0,114.0,78,Inactive
12652,1,331,919.98,919.98,505,Inactive
