CustomerID,InvoiceNo,InvoiceDate,Country,PreviousMonetaryValue,PreviousAverageOrderValue,PreviousOrderCount,PreviousOrderValue,DaysSincePreviousOrder,OrderValue
12347,542237,2011-01-26 14:30:00,17,711.79,711.79,1.0,711.79,49.0,475.39
12347,549222,2011-04-07 10:43:00,17,1187.18,593.59,2.0,475.39,70.0,636.25
12347,556201,2011-06-09 13:01:00,17,1823.43,607.81,3.0,636.25,63.0,382.52
12347,562032,2011-08-02 08:48:00,17,2205.95,551.49,4.0,382.52,53.0,584.91
12347,573511,2011-10-31 12:25:00,17,2790.86,558.17,5.0,584.91,90.0,1294.32
12347,581180,2011-12-07 15:52:00,17,4085.18,680.86,6.0,1294.32,37.0,224.82
12348,541998,2011-01-25 10:42:00,12,892.8,892.8,1.0,892.8,39.0,227.44
12348,548955,2011-04-05 10:47:00,12,1120.24,560.12,2.0,227.44,70.0,367.0
12348,568172,2011-09-25 13:13:00,12,1487.24,495.75,3.0,367.0,173.0,310.0
12352,545323,2011-03-01 14:57:00,25,296.5,296.5,1.0,296.5,13.0,144.35
12352,545332,2011-03-01 15:52:00,25,440.85,220.42,2.0,144.35,0.0,840.3
12352,547390,2011-03-22 16:08:00,25,1281.15,427.05,3.0,840.3,21.0,160.33
12352,567505,2011-09-20 14:34:00,25,1441.48,360.37,4.0,160.33,181.0,366.25
12352,568699,2011-09-28 14:58:00,25,1807.73,361.55,5.0,366.25,8.0,266.25
12352,574275,2011-11-03 14:37:00,25,2073.98,345.66,6.0,266.25,35.0,311.73
12356,549435,2011-04-08 12:33:00,27,2271.62,2271.62,1.0,2271.62,80.0,481.46
12356,576895,2011-11-17 08:40:00,27,2753.08,1376.54,2.0,481.46,222.0,58.35
12358,581232,2011-12-08 10:26:00,1,484.86,484.86,1.0,484.86,149.0,683.2
12359,543370,2011-02-07 14:51:00,7,547.5,547.5,1.0,547.5,26.0,1838.91
12359,555477,2011-06-03 12:26:00,7,2386.41,1193.2,2.0,1838.91,115.0,1109.32
12359,571034,2011-10-13 12:47:00,7,3495.73,1165.24,3.0,1109.32,132.0,2876.85
12360,563749,2011-08-19 10:10:00,1,1083.58,1083.58,1.0,1083.58,88.0,534.7
12360,571705,2011-10-18 15:22:00,1,1618.28,809.14,2.0,534.7,60.0,1043.78
12362,551346,2011-04-28 09:12:00,3,479.1,479.1,1.0,479.1,69.0,495.24
12362,559295,2011-07-07 12:32:00,3,974.34,487.17,2.0,495.24,70.0,303.76
12362,563037,2011-08-11 15:02:00,3,1278.1,426.03,3.0,303.76,35.0,469.25
12362,568651,2011-09-28 12:04:00,3,1747.35,436.84,4.0,469.25,47.0,829.99
12362,570667,2011-10-11 14:33:00,3,2577.34,515.47,5.0,829.99,13.0,355.8
12362,572887,2011-10-26 13:47:00,3,2933.14,488.86,6.0,355.8,14.0,786.95
12362,573173,2011-10-28 10:10:00,3,3720.09,531.44,7.0,786.95,1.0,499.16
12362,574329,2011-11-04 09:07:00,3,4219.25,527.41,8.0,499.16,6.0,477.94
12362,580979,2011-12-06 15:40:00,3,4697.19,521.91,9.0,477.94,32.0,529.04
12363,563947,2011-08-22 10:18:00,37,299.1,299.1,1.0,299.1,132.0,252.9
12364,567897,2011-09-22 16:07:00,3,623.92,623.92,1.0,623.92,34.0,79.8
12364,573401,2011-10-30 15:43:00,3,703.72,351.86,2.0,79.8,37.0,299.06
12364,580152,2011-12-02 10:22:00,3,1002.78,334.26,3.0,299.06,32.0,310.32
12370,539330,2010-12-17 09:38:00,1,1590.82,1590.82,1.0,1590.82,2.0,277.2
12370,546236,2011-03-10 12:48:00,7,1868.02,934.01,2.0,277.2,83.0,938.39
12370,571905,2011-10-19 14:51:00,7,2806.41,935.47,3.0,938.39,223.0,739.28
12371,572770,2011-10-26 10:16:00,33,1527.96,1527.96,1.0,1527.96,14.0,360.0
12372,552731,2011-05-11 10:43:00,9,399.22,399.22,1.0,399.22,83.0,515.7
12372,568872,2011-09-29 12:12:00,9,914.92,457.46,2.0,515.7,141.0,383.12
12375,579281,2011-11-29 10:36:00,12,230.3,230.3,1.0,230.3,87.0,227.2
12377,542586,2011-01-28 15:45:00,33,1001.52,1001.52,1.0,1001.52,39.0,626.6
12379,567196,2011-09-19 10:09:00,3,459.84,459.84,1.0,459.84,88.0,392.4
12380,567928,2011-09-22 17:31:00,3,607.55,607.55,1.0,607.55,107.0,626.01
12380,571187,2011-10-14 11:39:00,3,1233.56,616.78,2.0,626.01,21.0,450.86
12380,577180,2011-11-18 11:27:00,3,1684.42,561.47,3.0,450.86,34.0,1040.39
12381,570681,2011-10-11 15:45:00,25,1268.74,1268.74,1.0,1268.74,60.0,6.0
12381,570725,2011-10-12 11:30:00,25,1274.74,637.37,2.0,6.0,0.0,4.5
12381,574694,2011-11-06 13:36:00,25,1279.24,426.41,3.0,4.5,25.0,419.06
12381,580638,2011-12-05 12:44:00,25,1698.3,424.58,4.0,419.06,28.0,147.01
12383,540971,2011-01-12 14:10:00,3,600.72,600.72,1.0,600.72,20.0,651.16
12383,546434,2011-03-14 08:41:00,3,1251.88,625.94,2.0,651.16,60.0,357.07
12383,550284,2011-04-15 14:10:00,3,1608.95,536.32,3.0,357.07,32.0,142.16
12383,555928,2011-06-08 08:02:00,3,1751.11,437.78,4.0,142.16,53.0,99.45
12384,575734,2011-11-11 08:39:00,33,292.69,292.69,1.0,292.69,92.0,292.58
12386,540280,2011-01-06 12:37:00,0,258.9,258.9,1.0,258.9,29.0,143.0
12388,543357,2011-02-07 13:59:00,0,431.3,431.3,1.0,431.3,21.0,124.05
12388,546135,2011-03-09 15:47:00,0,555.35,277.68,2.0,124.05,30.0,210.9
12388,560033,2011-07-14 13:28:00,0,766.25,255.42,3.0,210.9,126.0,902.09
12388,568145,2011-09-25 11:30:00,0,1668.34,417.08,4.0,902.09,72.0,825.92
12388,578459,2011-11-24 12:30:00,0,2494.26,498.85,5.0,825.92,60.0,286.4
12393,541149,2011-01-14 11:36:00,0,462.5,462.5,1.0,462.5,3.0,177.0
12393,549313,2011-04-08 09:45:00,0,639.5,319.75,2.0,177.0,83.0,421.6
12393,568708,2011-09-28 15:41:00,0,1061.1,353.7,3.0,421.6,173.0,521.5
12394,569997,2011-10-07 08:08:00,9,381.08,381.08,1.0,381.08,153.0,891.4
12395,539447,2010-12-17 16:00:00,3,346.1,346.1,1.0,346.1,13.0,333.82
12395,543733,2011-02-11 12:16:00,3,679.92,339.96,2.0,333.82,55.0,231.51
12395,547517,2011-03-23 14:33:00,3,911.43,303.81,3.0,231.51,40.0,326.5
12395,551985,2011-05-05 14:38:00,3,1237.93,309.48,4.0,326.5,43.0,149.97
12395,552884,2011-05-12 10:15:00,3,1387.9,277.58,5.0,149.97,6.0,181.82
12395,558623,2011-06-30 16:52:00,3,1569.72,261.62,6.0,181.82,49.0,163.9
12395,563852,2011-08-19 15:18:00,3,1733.62,247.66,7.0,163.9,49.0,165.95
12395,569496,2011-10-04 13:45:00,3,1899.57,237.45,8.0,165.95,45.0,346.68
12395,575151,2011-11-08 16:12:00,3,2246.25,249.58,9.0,346.68,35.0,263.08
12395,575154,2011-11-08 16:15:00,3,2509.33,250.93,10.0,263.08,0.0,243.47
12395,577551,2011-11-20 15:21:00,3,2752.8,250.25,11.0,243.47,11.0,265.83
12397,574336,2011-11-04 09:52:00,3,1214.81,1214.81,1.0,1214.81,99.0,1195.09
12399,552543,2011-05-10 10:22:00,3,288.05,288.05,1.0,288.05,48.0,480.9
12399,556203,2011-06-09 13:09:00,3,768.95,384.48,2.0,480.9,30.0,130.08
12399,563172,2011-08-12 13:15:00,3,899.03,299.68,3.0,130.08,64.0,209.62
12406,577126,2011-11-17 19:22:00,9,1621.25,1621.25,1.0,1621.25,161.0,1794.05
12407,550440,2011-04-18 12:25:00,3,226.3,226.3,1.0,226.3,28.0,269.66
12407,559058,2011-07-06 09:49:00,3,495.96,247.98,2.0,269.66,78.0,719.06
12407,561662,2011-07-28 16:28:00,3,1215.02,405.01,3.0,719.06,22.0,192.34
12407,572133,2011-10-21 10:11:00,3,1407.36,351.84,4.0,192.34,84.0,300.76
12408,547685,2011-03-24 14:47:00,3,762.89,762.89,1.0,762.89,0.0,74.7
12408,557147,2011-06-17 10:51:00,3,837.59,418.8,2.0,74.7,84.0,654.18
12408,565246,2011-09-02 10:27:00,3,1491.77,497.26,3.0,654.18,76.0,642.28
12408,574862,2011-11-07 12:27:00,3,2134.05,533.51,4.0,642.28,66.0,754.5
12409,567642,2011-09-21 14:15:00,33,6207.08,6207.08,1.0,6207.08,103.0,4.95
12409,567721,2011-09-22 10:38:00,33,6212.03,3106.02,2.0,4.95,0.0,4860.64
12410,543181,2011-02-04 10:39:00,33,625.33,625.33,1.0,625.33,0.0,68.0
12412,561102,2011-07-25 11:17:00,9,514.5,514.5,1.0,514.5,31.0,376.24
12412,568223,2011-09-26 10:16:00,9,890.74,445.37,2.0,376.24,62.0,336.14
12413,550338,2011-04-17 15:33:00,13,479.25,479.25,1.0,479.25,100.0,84.65
12413,569402,2011-10-04 09:00:00,13,563.9,281.95,2.0,84.65,169.0,194.2
12414,550998,2011-04-26 09:12:00,1,153.76,153.76,1.0,153.76,82.0,242.8
12414,552202,2011-05-06 14:51:00,1,396.56,198.28,2.0,242.8,10.0,165.85
12415,540557,2011-01-10 09:58:00,0,7011.38,7011.38,1.0,7011.38,3.0,81.6
12415,543989,2011-02-15 09:52:00,0,7092.98,3546.49,2.0,81.6,35.0,14022.92
12415,545475,2011-03-03 10:59:00,0,21115.9,7038.63,3.0,14022.92,16.0,16726.84
12415,548661,2011-04-01 14:28:00,0,37842.74,9460.68,4.0,16726.84,29.0,350.0
