CustomerID,InvoiceNo,InvoiceDate,MonetaryValue,AverageOrderValue,Country,OrderValue
12346,541431,2011-01-18 10:01:00,77183.6,4.16,36,77183.6
12347,537626,2010-12-07 14:57:00,711.79,0.04,17,711.79
12347,542237,2011-01-26 14:30:00,1187.18,0.06,17,475.39
12347,549222,2011-04-07 10:43:00,1823.43,0.1,17,636.25
12347,556201,2011-06-09 13:01:00,2205.95,0.12,17,382.52
12347,562032,2011-08-02 08:48:00,2790.86,0.15,17,584.91
12347,573511,2011-10-31 12:25:00,4085.18,0.22,17,1294.32
12347,581180,2011-12-07 15:52:00,4310.0,0.23,17,224.82
12348,539318,2010-12-16 19:09:00,892.8,0.05,12,892.8
12348,541998,2011-01-25 10:42:00,1120.24,0.06,12,227.44
12348,548955,2011-04-05 10:47:00,1487.24,0.08,12,367.0
12348,568172,2011-09-25 13:13:00,1797.24,0.1,12,310.0
12349,577609,2011-11-21 09:51:00,1757.55,0.09,19,1757.55
12350,543037,2011-02-02 16:01:00,334.4,0.02,25,334.4
12352,544156,2011-02-16 12:33:00,296.5,0.02,25,296.5
12352,545323,2011-03-01 14:57:00,440.85,0.02,25,144.35
12352,545332,2011-03-01 15:52:00,1281.15,0.07,25,840.3
12352,546869,2011-03-17 16:00:00,1401.48,0.08,25,120.33
12352,547390,2011-03-22 16:08:00,1561.81,0.08,25,160.33
12352,567505,2011-09-20 14:34:00,1928.06,0.1,25,366.25
12352,568699,2011-09-28 14:58:00,2194.31,0.12,25,266.25
12352,574275,2011-11-03 14:37:00,2506.04,0.14,25,311.73
12353,553900,2011-05-19 17:47:00,89.0,0.0,2,89.0
12354,550911,2011-04-21 13:11:00,1079.4,0.06,31,1079.4
12355,552449,2011-05-09 13:49:00,459.4,0.02,2,459.4
12356,541430,2011-01-18 09:50:00,2271.62,0.12,27,2271.62
12356,549435,2011-04-08 12:33:00,2753.08,0.15,27,481.46
12356,576895,2011-11-17 08:40:00,2811.43,0.15,27,58.35
12357,574740,2011-11-06 16:07:00,6207.67,0.33,33,6207.67
12358,559707,2011-07-12 10:04:00,484.86,0.03,1,484.86
12358,581232,2011-12-08 10:26:00,1168.06,0.06,1,683.2
12359,540946,2011-01-12 12:43:00,547.5,0.03,7,547.5
12359,543370,2011-02-07 14:51:00,2386.41,0.13,7,1838.91
12359,555477,2011-06-03 12:26:00,3495.73,0.19,7,1109.32
12359,571034,2011-10-13 12:47:00,6372.58,0.34,7,2876.85
12360,554132,2011-05-23 09:43:00,1083.58,0.06,1,1083.58
12360,563749,2011-08-19 10:10:00,1618.28,0.09,1,534.7
12360,571705,2011-10-18 15:22:00,2662.06,0.14,1,1043.78
12361,545017,2011-02-25 13:51:00,189.9,0.01,3,189.9
12362,544203,2011-02-17 10:30:00,479.1,0.03,3,479.1
12362,551346,2011-04-28 09:12:00,974.34,0.05,3,495.24
12362,559295,2011-07-07 12:32:00,1278.1,0.07,3,303.76
12362,563037,2011-08-11 15:02:00,1747.35,0.09,3,469.25
12362,568651,2011-09-28 12:04:00,2577.34,0.14,3,829.99
12362,570667,2011-10-11 14:33:00,2933.14,0.16,3,355.8
12362,572887,2011-10-26 13:47:00,3720.09,0.2,3,786.95
12362,573173,2011-10-28 10:10:00,4219.25,0.23,3,499.16
12362,574329,2011-11-04 09:07:00,4697.19,0.25,3,477.94
12362,580979,2011-12-06 15:40:00,5226.23,0.28,3,529.04
12363,549687,2011-04-11 13:29:00,299.1,0.02,37,299.1
12363,563947,2011-08-22 10:18:00,552.0,0.03,37,252.9
12364,563854,2011-08-19 15:24:00,623.92,0.03,3,623.92
12364,567897,2011-09-22 16:07:00,703.72,0.04,3,79.8
12364,573401,2011-10-30 15:43:00,1002.78,0.05,3,299.06
12364,580152,2011-12-02 10:22:00,1313.1,0.07,3,310.32
12365,544574,2011-02-21 13:51:00,320.69,0.02,7,320.69
12365,544578,2011-02-21 14:04:00,641.38,0.03,7,320.69
12367,580716,2011-12-05 16:48:00,168.9,0.01,9,168.9
12370,538826,2010-12-14 12:58:00,1590.82,0.09,7,1590.82
12370,539330,2010-12-17 09:38:00,1868.02,0.1,1,277.2
12370,546236,2011-03-10 12:48:00,2806.41,0.15,7,938.39
12370,571905,2011-10-19 14:51:00,3545.69,0.19,7,739.28
12371,570521,2011-10-11 10:43:00,1527.96,0.08,33,1527.96
12371,572770,2011-10-26 10:16:00,1887.96,0.1,33,360.0
12372,544157,2011-02-16 12:46:00,399.22,0.02,9,399.22
12372,552731,2011-05-11 10:43:00,914.92,0.05,9,515.7
12372,568872,2011-09-29 12:12:00,1298.04,0.07,9,383.12
12373,542887,2011-02-01 13:10:00,364.6,0.02,1,364.6
12374,576345,2011-11-14 15:37:00,742.93,0.04,1,742.93
12375,565333,2011-09-02 14:23:00,230.3,0.01,12,230.3
12375,579281,2011-11-29 10:36:00,457.5,0.02,12,227.2
12377,539488,2010-12-20 09:37:00,1001.52,0.05,33,1001.52
12377,542586,2011-01-28 15:45:00,1628.12,0.09,33,626.6
12378,562046,2011-08-02 10:34:00,4008.62,0.22,33,4008.62
12379,557789,2011-06-22 16:32:00,459.84,0.02,3,459.84
12379,567196,2011-09-19 10:09:00,852.24,0.05,3,392.4
12380,555739,2011-06-07 09:49:00,607.55,0.03,3,607.55
12380,567928,2011-09-22 17:31:00,1233.56,0.07,3,626.01
12380,571187,2011-10-14 11:39:00,1684.42,0.09,3,450.86
12380,577180,2011-11-18 11:27:00,2724.81,0.15,3,1040.39
12381,563100,2011-08-12 09:57:00,1268.74,0.07,25,1268.74
12381,570681,2011-10-11 15:45:00,1274.74,0.07,25,6.0
12381,570725,2011-10-12 11:30:00,1279.24,0.07,25,4.5
12381,574694,2011-11-06 13:36:00,1698.3,0.09,25,419.06
12381,580638,2011-12-05 12:44:00,1845.31,0.1,25,147.01
12383,539840,2010-12-22 14:28:00,600.72,0.03,3,600.72
12383,540971,2011-01-12 14:10:00,1251.88,0.07,3,651.16
12383,546434,2011-03-14 08:41:00,1608.95,0.09,3,357.07
12383,550284,2011-04-15 14:10:00,1751.11,0.09,3,142.16
12383,555928,2011-06-08 08:02:00,1850.56,0.1,3,99.45
12384,562882,2011-08-10 11:23:00,292.69,0.02,33,292.69
12384,575734,2011-11-11 08:39:00,585.27,0.03,33,292.58
12386,537676,2010-12-08 09:53:00,258.9,0.01,0,258.9
12386,540280,2011-01-06 12:37:00,401.9,0.02,0,143.0
12388,541271,2011-01-17 11:12:00,431.3,0.02,0,431.3
12388,543357,2011-02-07 13:59:00,555.35,0.03,0,124.05
12388,546135,2011-03-09 15:47:00,766.25,0.04,0,210.9
12388,560033,2011-07-14 13:28:00,1668.34,0.09,0,902.09
12388,568145,2011-09-25 11:30:00,2494.26,0.13,0,825.92
12388,578459,2011-11-24 12:30:00,2780.66,0.15,0,286.4
12390,567530,2011-09-21 09:33:00,549.84,0.03,3,549.84
12391,577228,2011-11-18 12:07:00,460.89,0.02,7,460.89
12393,540700,2011-01-11 09:47:00,462.5,0.02,0,462.5
12393,541149,2011-01-14 11:36:00,639.5,0.03,0,177.0
12393,549313,2011-04-08 09:45:00,1061.1,0.06,0,421.6
12393,568708,2011-09-28 15:41:00,1582.6,0.09,0,521.5
12394,552188,2011-05-06 14:01:00,381.08,0.02,3,381.08
12394,569997,2011-10-07 08:08:00,1272.48,0.07,9,891.4
12395,537026,2010-12-03 16:35:00,346.1,0.02,3,346.1
12395,539447,2010-12-17 16:00:00,679.92,0.04,3,333.82
12395,543733,2011-02-11 12:16:00,911.43,0.05,3,231.51
12395,547517,2011-03-23 14:33:00,1237.93,0.07,3,326.5
12395,551985,2011-05-05 14:38:00,1387.9,0.07,3,149.97
12395,552884,2011-05-12 10:15:00,1569.72,0.08,3,181.82
12395,558623,2011-06-30 16:52:00,1733.62,0.09,3,163.9
12395,563852,2011-08-19 15:18:00,1899.57,0.1,3,165.95
12395,569496,2011-10-04 13:45:00,2246.25,0.12,3,346.68
12395,575151,2011-11-08 16:12:00,2509.33,0.14,3,263.08
12395,575154,2011-11-08 16:15:00,2752.8,0.15,3,243.47
12395,577551,2011-11-20 15:21:00,3018.63,0.16,3,265.83
12397,561507,2011-07-27 14:21:00,1214.81,0.07,3,1214.81
12397,574336,2011-11-04 09:52:00,2409.9,0.13,3,1195.09
12398,572567,2011-10-25 10:27:00,1635.66,0.09,33,1635.66
12399,547412,2011-03-23 09:42:00,288.05,0.02,3,288.05
12399,552543,2011-05-10 10:22:00,768.95,0.04,3,480.9
12399,556203,2011-06-09 13:09:00,899.03,0.05,3,130.08
12399,563172,2011-08-12 13:15:00,1108.65,0.06,3,209.62
12401,543537,2011-02-09 13:50:00,84.3,0.0,3,84.3
12402,541675,2011-01-20 13:49:00,225.6,0.01,3,225.6
12403,572184,2011-10-21 10:51:00,427.7,0.02,9,427.7
12405,559928,2011-07-14 08:52:00,1710.39,0.09,12,1710.39
12406,556127,2011-06-09 10:23:00,1621.25,0.09,9,1621.25
12406,577126,2011-11-17 19:22:00,3415.3,0.18,9,1794.05
12407,547061,2011-03-20 13:21:00,226.3,0.01,3,226.3
12407,550440,2011-04-18 12:25:00,495.96,0.03,3,269.66
12407,559058,2011-07-06 09:49:00,1215.02,0.07,3,719.06
12407,561662,2011-07-28 16:28:00,1407.36,0.08,3,192.34
12407,572133,2011-10-21 10:11:00,1708.12,0.09,3,300.76
12408,547684,2011-03-24 14:46:00,762.89,0.04,3,762.89
12408,547685,2011-03-24 14:47:00,837.59,0.05,3,74.7
12408,557147,2011-06-17 10:51:00,1491.77,0.08,3,654.18
12408,565246,2011-09-02 10:27:00,2134.05,0.12,3,642.28
12408,574862,2011-11-07 12:27:00,2888.55,0.16,3,754.5
12409,556415,2011-06-10 12:19:00,6207.08,0.33,33,6207.08
12409,567642,2011-09-21 14:15:00,6212.03,0.34,33,4.95
12409,567721,2011-09-22 10:38:00,11072.67,0.6,33,4860.64
12410,543180,2011-02-04 10:38:00,625.33,0.03,33,625.33
12410,543181,2011-02-04 10:39:00,693.33,0.04,33,68.0
12412,557889,2011-06-23 13:51:00,514.5,0.03,9,514.5
12412,561102,2011-07-25 11:17:00,890.74,0.05,9,376.24
12412,568223,2011-09-26 10:16:00,1226.88,0.07,9,336.14
12413,540365,2011-01-06 16:12:00,479.25,0.03,13,479.25
12413,550338,2011-04-17 15:33:00,563.9,0.03,13,84.65
12413,569402,2011-10-04 09:00:00,758.1,0.04,13,194.2
12414,543027,2011-02-02 14:51:00,153.76,0.01,1,153.76
12414,550998,2011-04-26 09:12:00,396.56,0.02,1,242.8
12414,552202,2011-05-06 14:51:00,562.41,0.03,1,165.85
12415,540267,2011-01-06 11:12:00,7011.38,0.38,0,7011.38
12415,540557,2011-01-10 09:58:00,7092.98,0.38,0,81.6
12415,543989,2011-02-15 09:52:00,21115.9,1.14,0,14022.92
12415,545475,2011-03-03 10:59:00,37842.74,2.04,0,16726.84
12415,548661,2011-04-01 14:28:00,38192.74,2.06,0,350.0
12415,553546,2011-05-17 15:42:00,50117.54,2.7,0,11924.8
12415,554037,2011-05-20 14:13:00,50883.9,2.75,0,766.36
12415,556917,2011-06-15 13:37:00,73659.83,3.97,0,22775.93
12415,556918,2011-06-15 13:37:00,74310.71,4.01,0,650.88
12415,559919,2011-07-13 15:30:00,77045.87,4.16,0,2735.16
12415,559920,2011-07-13 15:31:00,77107.07,4.16,0,61.2
12415,560491,2011-07-19 10:51:00,77265.72,4.17,0,158.65
12415,563614,2011-08-18 08:51:00,99146.16,5.35,0,21880.44
12415,565145,2011-09-01 13:50:00,101879.08,5.5,0,2732.92
12415,565146,2011-09-01 13:51:00,102087.88,5.51,0,208.8
12415,569647,2011-10-05 12:35:00,102915.88,5.55,0,828.0
12415,569650,2011-10-05 12:44:00,118559.65,6.4,0,15643.77
12415,574014,2011-11-02 12:03:00,119183.89,6.43,0,624.24
12415,574138,2011-11-03 11:26:00,119559.13,6.45,0,375.24
12415,576394,2011-11-15 10:32:00,124484.93,6.72,0,4925.8
12415,576586,2011-11-15 14:22:00,124914.53,6.74,0,429.6
12417,539391,2010-12-17 11:51:00,291.34,0.02,3,291.34
12417,541991,2011-01-25 09:11:00,614.78,0.03,3,323.44
12417,545536,2011-03-03 14:12:00,1024.78,0.06,3,410.0
12417,551398,2011-04-28 13:09:00,1461.08,0.08,31,436.3
12417,555574,2011-06-05 15:46:00,1898.27,0.1,3,437.19
12417,562445,2011-08-04 18:51:00,2253.83,0.12,3,355.56
12417,564378,2011-08-25 10:26:00,2816.52,0.15,3,562.69
12417,573656,2011-10-31 16:02:00,3279.37,0.18,3,462.85
12417,580965,2011-12-06 14:52:00,3649.1,0.2,3,369.73
12418,563756,2011-08-19 11:08:00,668.58,0.04,33,668.58
12420,570000,2011-10-07 08:55:00,600.39,0.03,7,600.39
12421,541980,2011-01-24 15:09:00,157.45,0.01,31,157.45
12421,557297,2011-06-19 13:54:00,396.8,0.02,31,239.35
