StockCode,Description,CompletedRevenue,TotalQuantitySold,TotalInvoices,TotalCustomers,AverageInvoiceValue
22423,REGENCY CAKESTAND 3 TIER,138971.8,12081,1689,877,82.28
85123A,WHITE HANGING HEART T-LIGHT HOLDER,98872.25,36123,1962,856,50.39
85099B,JUMBO BAG RED RETROSPOT,83882.8,45420,1592,633,52.69
POST,POSTAGE,77567.96,3108,1096,331,70.77
47566,PARTY BUNTING,68287.28,15162,1373,708,49.74
84879,ASSORTED COLOUR BIRD ORNAMENT,56517.81,35325,1371,676,41.22
23084,RABBIT NIGHT LIGHT,51308.76,27184,799,449,64.22
M,Manual,45934.29,7159,244,195,188.26
79321,CHILLI LIGHTS,45193.51,9374,516,204,87.58
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,41637.88,15216,973,612,42.79
21137,BLACK RECORD COVER FRAME,39049.55,11402,312,140,125.16
22386,JUMBO BAG PINK POLKADOT,36525.09,19735,866,371,42.18
23298,SPOTTY BUNTING,35524.4,7636,1002,571,35.45
82484,WOOD BLACK BOARD ANT WHITE FINISH,34478.01,5921,604,285,57.08
23284,DOORMAT KEEP CALM AND COME IN,34394.05,5128,644,376,53.41
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33283.45,7007,1141,637,29.17
22960,JAM MAKING SET WITH JARS,32400.47,8085,870,568,37.24
85099F,JUMBO BAG STRAWBERRY,30235.9,16577,651,314,46.45
22178,VICTORIAN GLASS HANGING T-LIGHT,28674.81,22355,811,401,35.36
22470,HEART OF WICKER LARGE,28520.95,9591,801,485,35.61
22469,HEART OF WICKER SMALL,28208.84,16763,960,572,29.38
20725,LUNCH BAG RED RETROSPOT,27885.3,17586,1285,531,21.7
23245,SET OF 3 REGENCY CAKE TINS,26529.58,5834,714,470,37.16
22727,ALARM CLOCK BAKELIKE RED ,25872.7,7207,874,387,29.6
23199,JUMBO BAG APPLES,25699.46,13467,714,344,35.99
20685,DOORMAT RED RETROSPOT,25192.05,3871,573,329,43.97
